token,attribution,model
summary,0.00022370418,Cross-Attention
##7,-3.7284997e-05,Cross-Attention
+,-8.428275e-06,Cross-Attention
years,-4.0521e-05,Cross-Attention
of,-3.18484e-05,Cross-Attention
experience,-2.064466e-05,Cross-Attention
as,-5.502674e-06,Cross-Attention
a,6.4214382e-06,Cross-Attention
bi,-3.094587e-05,Cross-Attention
developer,-0.000115266004,Cross-Attention
with,-1.7604038e-05,Cross-Attention
a,2.6048332e-05,Cross-Attention
proven,-4.907739e-06,Cross-Attention
track,-1.9647629e-05,Cross-Attention
record,-4.2436994e-05,Cross-Attention
in,-4.4760065e-05,Cross-Attention
business,-1.2287404e-05,Cross-Attention
intelligence,1.6966187e-05,Cross-Attention
(,-4.942045e-05,Cross-Attention
bi,1.5296693e-05,Cross-Attention
),-0.00011901038,Cross-Attention
",",2.6675541e-05,Cross-Attention
data,-3.079137e-05,Cross-Attention
warehouse,-1.1374599e-05,Cross-Attention
(,1.6492999e-05,Cross-Attention
d,-1.0937054e-05,Cross-Attention
##w,-1.0740927e-05,Cross-Attention
##h,-6.371607e-06,Cross-Attention
),1.2625135e-05,Cross-Attention
and,3.3578835e-06,Cross-Attention
data,6.884427e-05,Cross-Attention
analytics,2.035244e-05,Cross-Attention
related,-0.00012255441,Cross-Attention
consulting,2.4201627e-05,Cross-Attention
projects,2.6788377e-05,Cross-Attention
.,1.7866816e-05,Cross-Attention
proven,7.247101e-06,Cross-Attention
ability,1.273331e-05,Cross-Attention
to,0.000102910955,Cross-Attention
identify,-0.00022260335,Cross-Attention
business,-0.00010708692,Cross-Attention
needs,0.00032073708,Cross-Attention
and,-2.8485778e-05,Cross-Attention
develop,-3.998033e-06,Cross-Attention
valuable,6.238129e-05,Cross-Attention
solutions,4.8840157e-06,Cross-Attention
to,3.6501588e-05,Cross-Attention
drive,3.195182e-05,Cross-Attention
accuracy,5.1303134e-05,Cross-Attention
and,7.0050504e-05,Cross-Attention
process,1.9683634e-05,Cross-Attention
efficiency,8.258187e-05,Cross-Attention
.,3.2922526e-05,Cross-Attention
experienced,-8.85141e-06,Cross-Attention
in,-7.280214e-07,Cross-Attention
developing,4.601323e-06,Cross-Attention
",",1.5627431e-05,Cross-Attention
implementing,-7.019068e-05,Cross-Attention
",",2.6236581e-05,Cross-Attention
documenting,-0.00012984843,Cross-Attention
",",-4.9516104e-05,Cross-Attention
monitoring,-1.3861303e-05,Cross-Attention
and,1.388835e-05,Cross-Attention
maintaining,1.2232558e-05,Cross-Attention
the,3.9032486e-05,Cross-Attention
data,1.0161179e-05,Cross-Attention
warehouse,6.871025e-06,Cross-Attention
extracts,3.201756e-06,Cross-Attention
",",3.0120891e-05,Cross-Attention
transformations,-2.7413342e-05,Cross-Attention
and,4.3837423e-05,Cross-Attention
et,-6.8385125e-06,Cross-Attention
##l,5.3653584e-05,Cross-Attention
process,1.9202413e-05,Cross-Attention
in,-6.48497e-07,Cross-Attention
various,1.693068e-05,Cross-Attention
industries,-3.4392415e-05,Cross-Attention
like,1.8866109e-05,Cross-Attention
financial,1.28435495e-05,Cross-Attention
",",2.3397502e-05,Cross-Attention
health,1.8269267e-05,Cross-Attention
care,-4.161754e-06,Cross-Attention
and,-4.9346723e-05,Cross-Attention
retail,-2.3619552e-05,Cross-Attention
industry,2.0166117e-05,Cross-Attention
with,5.4717357e-06,Cross-Attention
##sal,8.6866985e-06,Cross-Attention
##es,1.5905596e-05,Cross-Attention
",",-1.1220203e-05,Cross-Attention
marketing,2.4984227e-05,Cross-Attention
",",4.375106e-07,Cross-Attention
inventory,-3.7621812e-06,Cross-Attention
management,2.5167352e-05,Cross-Attention
",",6.171986e-05,Cross-Attention
supply,4.2825122e-06,Cross-Attention
chain,3.0483134e-06,Cross-Attention
and,1.6045225e-05,Cross-Attention
financed,0.00014248701,Cross-Attention
##oma,-1.5704522e-05,Cross-Attention
##ins,2.4550656e-05,Cross-Attention
.,-6.4928317e-06,Cross-Attention
delivered,-9.81515e-06,Cross-Attention
bi,-2.3064138e-05,Cross-Attention
reporting,-6.161317e-05,Cross-Attention
solutions,1.3367813e-05,Cross-Attention
in,-1.1469501e-07,Cross-Attention
power,4.2861495e-05,Cross-Attention
bi,8.352314e-06,Cross-Attention
",",2.8281775e-05,Cross-Attention
reporting,-6.431914e-05,Cross-Attention
services,-2.0502517e-05,Cross-Attention
(,2.2168919e-05,Cross-Attention
ssr,2.4627461e-05,Cross-Attention
##s,1.1249513e-05,Cross-Attention
),-9.887923e-06,Cross-Attention
.,4.4560882e-05,Cross-Attention
expertise,-1.200818e-05,Cross-Attention
ind,4.5488072e-05,Cross-Attention
##ata,-1.3660299e-05,Cross-Attention
ware,-1.0261265e-06,Cross-Attention
##ho,-6.3093953e-06,Cross-Attention
##using,1.6582195e-05,Cross-Attention
architecture,-1.2242912e-05,Cross-Attention
##sin,-1.6329708e-05,Cross-Attention
##cl,8.918494e-06,Cross-Attention
##uding,5.9965052e-05,Cross-Attention
##et,9.6711e-06,Cross-Attention
##lde,2.859312e-05,Cross-Attention
##si,4.7528738e-05,Cross-Attention
##gn,8.594678e-05,Cross-Attention
",",4.1711402e-05,Cross-Attention
staging,-5.311188e-05,Cross-Attention
",",-5.9990707e-06,Cross-Attention
transformations,4.5624856e-05,Cross-Attention
",",1.694687e-05,Cross-Attention
