token,attribution,model
summary,-2.7718652e-09,Late Fusion
##7,-3.4439072e-09,Late Fusion
+,3.7531764e-09,Late Fusion
years,-8.5030365e-09,Late Fusion
of,1.1280152e-09,Late Fusion
experience,-1.6718731e-09,Late Fusion
as,-1.80132e-09,Late Fusion
a,-1.6625621e-09,Late Fusion
bi,-1.241723e-09,Late Fusion
developer,-2.4791044e-08,Late Fusion
with,-3.4437062e-09,Late Fusion
a,-6.2859735e-09,Late Fusion
proven,-3.2710075e-09,Late Fusion
track,-1.9754818e-09,Late Fusion
record,-1.045088e-09,Late Fusion
in,-1.8296735e-09,Late Fusion
business,3.093703e-10,Late Fusion
intelligence,-2.5102946e-09,Late Fusion
(,4.2046533e-11,Late Fusion
bi,-1.3203505e-10,Late Fusion
),-2.4669466e-09,Late Fusion
",",-2.974215e-09,Late Fusion
data,-1.0295349e-09,Late Fusion
warehouse,1.2279461e-09,Late Fusion
(,2.5171227e-09,Late Fusion
d,-1.1228134e-09,Late Fusion
##w,-3.9551695e-11,Late Fusion
##h,-1.3251369e-09,Late Fusion
),-7.66989e-09,Late Fusion
and,-4.656362e-09,Late Fusion
data,-1.9401964e-09,Late Fusion
analytics,-4.04988e-09,Late Fusion
related,1.718839e-09,Late Fusion
consulting,-2.3459323e-10,Late Fusion
projects,-2.213572e-09,Late Fusion
.,-2.5638176e-09,Late Fusion
proven,-3.4788803e-09,Late Fusion
ability,-8.48845e-10,Late Fusion
to,-1.1845389e-09,Late Fusion
identify,-4.048476e-09,Late Fusion
business,1.1417423e-09,Late Fusion
needs,-3.1272316e-09,Late Fusion
and,-1.3997861e-09,Late Fusion
develop,-8.040033e-10,Late Fusion
valuable,-1.625343e-09,Late Fusion
solutions,-4.315563e-09,Late Fusion
to,-2.3352071e-09,Late Fusion
drive,1.6358852e-09,Late Fusion
accuracy,3.4380567e-09,Late Fusion
and,-2.6160742e-09,Late Fusion
process,-5.3670385e-10,Late Fusion
efficiency,1.2592125e-09,Late Fusion
.,4.642621e-09,Late Fusion
experienced,-6.230618e-10,Late Fusion
in,-4.5673914e-09,Late Fusion
developing,-1.4874864e-09,Late Fusion
