token,attribution,model
summary,-6.151166e-12,MoE
##7,-8.7790174e-12,MoE
+,-2.8335622e-12,MoE
years,-7.957767e-12,MoE
of,-6.970557e-12,MoE
experience,8.9226196e-13,MoE
as,1.5845428e-12,MoE
a,-1.08565604e-11,MoE
bi,-3.0580347e-12,MoE
developer,-3.0415735e-12,MoE
with,-1.0495181e-11,MoE
a,-8.293552e-12,MoE
proven,-5.0788445e-12,MoE
track,-1.2522977e-12,MoE
record,-5.889241e-12,MoE
in,-8.402636e-12,MoE
business,-1.4891792e-12,MoE
intelligence,-3.7015963e-12,MoE
(,-8.1453655e-12,MoE
bi,-1.3156498e-12,MoE
),-1.2890107e-11,MoE
",",-1.0452921e-11,MoE
data,-2.7363693e-11,MoE
warehouse,-1.45712e-12,MoE
(,-6.2450435e-12,MoE
d,-7.1804377e-12,MoE
##w,-1.7184434e-12,MoE
##h,-3.0034764e-12,MoE
),-1.5387263e-11,MoE
and,-1.0746277e-11,MoE
data,-1.965041e-11,MoE
analytics,-3.6994942e-11,MoE
related,1.0432417e-12,MoE
consulting,3.800951e-12,MoE
projects,-3.5161667e-12,MoE
.,-1.3952329e-11,MoE
proven,-7.558343e-12,MoE
ability,5.855498e-12,MoE
to,-6.861482e-12,MoE
identify,-1.453102e-13,MoE
business,1.3071215e-12,MoE
needs,1.0454699e-11,MoE
and,-7.212302e-12,MoE
develop,1.9771912e-13,MoE
valuable,-8.374447e-13,MoE
solutions,-2.4671883e-12,MoE
to,-8.5534305e-12,MoE
drive,-4.1778664e-12,MoE
accuracy,-4.6230567e-12,MoE
and,-1.4157916e-11,MoE
process,-3.1589033e-12,MoE
efficiency,-2.515683e-12,MoE
.,1.4069431e-12,MoE
experienced,3.694248e-12,MoE
in,-5.07355e-12,MoE
developing,5.056583e-12,MoE
",",-1.415152e-11,MoE
implementing,-9.528443e-12,MoE
",",-1.2659729e-11,MoE
documenting,-1.4711195e-12,MoE
",",-1.4336575e-11,MoE
monitoring,-9.609094e-12,MoE
and,-2.143672e-11,MoE
maintaining,6.6052615e-12,MoE
the,-1.1594309e-11,MoE
data,-1.6824356e-11,MoE
warehouse,-4.841625e-12,MoE
extracts,-4.855751e-12,MoE
",",-2.2197588e-11,MoE
transformations,-9.325254e-12,MoE
and,-1.5634655e-11,MoE
et,9.259477e-13,MoE
##l,-1.6750067e-12,MoE
process,-2.4998528e-12,MoE
in,-1.4303744e-11,MoE
various,5.5450002e-12,MoE
industries,3.1737542e-12,MoE
like,-1.546138e-11,MoE
financial,2.181916e-12,MoE
",",-1.3482902e-11,MoE
health,-3.072295e-13,MoE
care,1.955067e-11,MoE
and,-4.7027434e-12,MoE
retail,3.059312e-12,MoE
industry,4.1287754e-12,MoE
with,-1.1673912e-11,MoE
##sal,8.552938e-13,MoE
##es,2.0083722e-12,MoE
",",-5.238671e-12,MoE
marketing,3.2865898e-13,MoE
",",-1.3029132e-11,MoE
inventory,-1.0093318e-11,MoE
management,2.3464232e-12,MoE
",",-6.9458796e-12,MoE
supply,-1.2251694e-11,MoE
chain,-3.1687359e-12,MoE
and,-8.559969e-12,MoE
financed,4.492959e-12,MoE
##oma,-5.6846567e-12,MoE
##ins,3.8058844e-12,MoE
.,-5.536366e-12,MoE
delivered,-1.5726859e-12,MoE
bi,1.03013084e-13,MoE
reporting,2.310348e-13,MoE
solutions,1.5540217e-12,MoE
in,-4.6778675e-12,MoE
power,1.2375071e-12,MoE
bi,1.4664294e-12,MoE
",",-1.3968309e-11,MoE
reporting,2.316142e-12,MoE
services,-1.1869181e-11,MoE
(,9.844226e-12,MoE
ssr,1.7251489e-12,MoE
##s,-3.837214e-12,MoE
),-9.786356e-12,MoE
.,-4.7828946e-12,MoE
expertise,-5.941603e-12,MoE
ind,1.0337554e-11,MoE
##ata,-2.0160892e-11,MoE
ware,-5.244718e-12,MoE
##ho,1.8813742e-12,MoE
##using,3.930199e-12,MoE
architecture,-4.4329453e-12,MoE
##sin,-2.8524219e-12,MoE
##cl,3.795438e-12,MoE
##uding,1.6212619e-12,MoE
##et,-4.444787e-12,MoE
##lde,-1.942026e-12,MoE
##si,-7.568113e-13,MoE
##gn,-3.3259376e-12,MoE
",",-2.777763e-12,MoE
staging,-8.973485e-12,MoE
",",-1.8667824e-11,MoE
transformations,-2.1849371e-12,MoE
",",-9.303835e-12,MoE
delta,-6.435324e-12,MoE
/,7.2340805e-12,MoE
change,1.24608015e-11,MoE
data,-7.2493756e-12,MoE
##cap,-2.8832368e-12,MoE
##ture,-1.0430726e-12,MoE
",",-6.18375e-12,MoE
star,-1.42730645e-11,MoE
-,4.476729e-12,MoE
sc,-2.0788675e-12,MoE
##hema,4.5419684e-12,MoE
##s,-2.6953678e-12,MoE
",",1.6323219e-12,MoE
cube,-1.4619115e-11,MoE
##s,-4.1682014e-12,MoE
and,-9.9248335e-12,MoE
##his,-7.985852e-12,MoE
##tory,-6.718055e-12,MoE
##loading,-4.3524212e-14,MoE
##ski,-8.182285e-12,MoE
##lled,-4.823489e-12,MoE
in,-5.560933e-12,MoE
writing,1.2388304e-11,MoE
##t,-1.6737323e-11,MoE
-,1.4892362e-11,MoE
sql,8.4654506e-15,MoE
que,1.6066343e-11,MoE
##ries,-2.1700305e-11,MoE
",",-1.2625611e-11,MoE
dynamic,1.1763351e-11,MoE
-,1.0877848e-12,MoE
que,8.146378e-12,MoE
##ries,-8.109924e-12,MoE
",",-1.7469349e-11,MoE
sub,1.29551075e-11,MoE
-,2.0688746e-14,MoE
que,-1.0825899e-12,MoE
##ries,-1.29085275e-11,MoE
and,-1.7290513e-11,MoE
joins,-1.7190947e-11,MoE
for,-5.1043622e-12,MoE
generating,-3.1568454e-12,MoE
##stor,-8.076354e-12,MoE
##ed,4.888238e-13,MoE
procedures,1.0254948e-12,MoE
",",-1.2782804e-11,MoE
triggers,-5.6853498e-12,MoE
",",-5.752595e-12,MoE
user,8.2702204e-12,MoE
-,-3.2348122e-12,MoE
defined,1.2739872e-11,MoE
functions,1.9319983e-11,MoE
",",-6.0636366e-12,MoE
views,4.182039e-12,MoE
and,-2.2949954e-11,MoE
cu,8.772405e-12,MoE
##rso,-1.5408837e-11,MoE
##rs,-1.1983147e-11,MoE
.,-6.3889727e-12,MoE
experience,2.002539e-12,MoE
with,-2.140699e-11,MoE
all,2.8312736e-11,MoE
phases,-8.5943076e-12,MoE
of,-2.4325004e-12,MoE
software,-1.4479186e-11,MoE
development,1.1435323e-11,MoE
life,2.4465705e-12,MoE
cycle,-1.3176144e-11,MoE
(,-8.284506e-13,MoE
sd,-5.440682e-12,MoE
##lc,-4.036136e-12,MoE
),-1.6892853e-11,MoE
and,-2.4739736e-11,MoE
agile,-2.8788538e-12,MoE
method,-1.6749439e-11,MoE
##ologies,-9.854034e-12,MoE
.,-1.1076548e-11,MoE
have,5.471754e-12,MoE
delivered,-1.7146007e-11,MoE
as,-5.0520785e-14,MoE
a,-1.28881185e-11,MoE
team,-6.3058174e-12,MoE
member,-2.5394424e-12,MoE
",",-1.7621118e-11,MoE
team,-5.5856496e-12,MoE
lead,4.0721666e-12,MoE
and,-3.0662712e-11,MoE
as,9.0476845e-13,MoE
an,-2.1716243e-11,MoE
independent,-3.313338e-13,MoE
consultant,-1.1608456e-11,MoE
on,-2.7113287e-11,MoE
medium,-1.7688663e-11,MoE
to,-1.5495865e-11,MoE
large,-6.0568265e-12,MoE
scale,2.6519282e-13,MoE
projects,-7.669396e-12,MoE
