token,attribution,model
summary,0.0008453978,MoE_v2
##7,0.00045784054,MoE_v2
+,-9.7978525e-05,MoE_v2
years,-8.83489e-06,MoE_v2
of,0.0003660978,MoE_v2
experience,0.0004305406,MoE_v2
as,3.363497e-05,MoE_v2
a,0.00012157597,MoE_v2
bi,0.00037452712,MoE_v2
developer,0.00083376066,MoE_v2
with,0.00015621207,MoE_v2
a,7.395424e-05,MoE_v2
proven,-0.00025769815,MoE_v2
track,-0.00036103686,MoE_v2
record,0.00038394186,MoE_v2
in,-0.00053471583,MoE_v2
business,-0.0016349598,MoE_v2
intelligence,-0.00025919182,MoE_v2
(,-0.00037061542,MoE_v2
bi,2.1991145e-05,MoE_v2
),0.0003231393,MoE_v2
",",2.4301065e-05,MoE_v2
data,0.003227838,MoE_v2
warehouse,-0.0011644472,MoE_v2
(,-0.00017305519,MoE_v2
d,-0.00060739426,MoE_v2
##w,2.6141257e-05,MoE_v2
##h,2.6924317e-05,MoE_v2
),-5.403752e-05,MoE_v2
and,-1.837987e-05,MoE_v2
data,-0.00026108453,MoE_v2
analytics,0.00076205307,MoE_v2
related,0.0009023823,MoE_v2
consulting,-0.00041348615,MoE_v2
projects,0.00011330101,MoE_v2
.,-0.00023147796,MoE_v2
proven,0.0003454442,MoE_v2
ability,-0.00010128465,MoE_v2
to,-0.00011653837,MoE_v2
identify,-5.0662013e-05,MoE_v2
business,0.0003686128,MoE_v2
needs,-0.00030440814,MoE_v2
and,-0.00052907073,MoE_v2
develop,-0.0004388881,MoE_v2
valuable,-0.0021029974,MoE_v2
solutions,4.8319707e-05,MoE_v2
to,0.00024004713,MoE_v2
drive,-0.0003689028,MoE_v2
accuracy,0.00021444347,MoE_v2
and,-0.00013866811,MoE_v2
process,-0.00018709087,MoE_v2
efficiency,-0.00025989988,MoE_v2
.,-0.0028599142,MoE_v2
experienced,0.0014444203,MoE_v2
in,-0.0015928539,MoE_v2
developing,-4.0963787e-06,MoE_v2
",",1.2441538e-05,MoE_v2
implementing,-0.00013895327,MoE_v2
",",-0.00010221143,MoE_v2
documenting,-0.0010230393,MoE_v2
",",-0.0014807761,MoE_v2
monitoring,-0.00020205323,MoE_v2
and,-0.00019724494,MoE_v2
maintaining,0.00082495384,MoE_v2
the,0.00020275061,MoE_v2
data,-0.0062243133,MoE_v2
warehouse,-0.0011360238,MoE_v2
extracts,-0.0032158596,MoE_v2
",",0.0034989032,MoE_v2
transformations,0.0017639224,MoE_v2
and,9.282463e-05,MoE_v2
et,-0.0005239553,MoE_v2
##l,0.0025897669,MoE_v2
process,0.00028848683,MoE_v2
in,0.0005446583,MoE_v2
various,9.7599695e-06,MoE_v2
industries,0.00011765139,MoE_v2
like,-0.000102416714,MoE_v2
financial,0.00027558423,MoE_v2
",",-0.001972559,MoE_v2
health,0.00070094195,MoE_v2
care,-0.0020418097,MoE_v2
and,-2.133596e-05,MoE_v2
retail,0.00018389843,MoE_v2
industry,0.00072860037,MoE_v2
with,-1.6501137e-05,MoE_v2
##sal,-0.00040449458,MoE_v2
##es,4.1777126e-05,MoE_v2
",",-0.0014747683,MoE_v2
marketing,-0.00045070672,MoE_v2
",",-0.00013207391,MoE_v2
inventory,-0.0009938071,MoE_v2
management,3.8695536e-05,MoE_v2
",",0.0008021578,MoE_v2
supply,0.0008537543,MoE_v2
chain,0.0012049514,MoE_v2
and,0.00020393202,MoE_v2
financed,-0.00017724841,MoE_v2
##oma,-0.0004096801,MoE_v2
##ins,0.00018794497,MoE_v2
.,-0.0019636296,MoE_v2
delivered,-0.001410547,MoE_v2
bi,7.4024138e-06,MoE_v2
reporting,-0.0022619895,MoE_v2
solutions,-0.0020165907,MoE_v2
in,0.000604589,MoE_v2
power,-0.0074603343,MoE_v2
bi,0.0047630672,MoE_v2
",",0.0045146327,MoE_v2
reporting,-0.0021510215,MoE_v2
services,0.0037639374,MoE_v2
(,-0.00071181334,MoE_v2
ssr,0.003166482,MoE_v2
##s,-0.004808363,MoE_v2
),-0.0050360607,MoE_v2
.,0.0011166717,MoE_v2
expertise,-0.00018421421,MoE_v2
ind,-0.0027649961,MoE_v2
##ata,0.0029836406,MoE_v2
ware,-0.0028940558,MoE_v2
##ho,-0.00074655405,MoE_v2
##using,-0.00027155085,MoE_v2
architecture,-0.0014365669,MoE_v2
##sin,-0.00021413504,MoE_v2
##cl,0.0018655907,MoE_v2
##uding,-0.00037743454,MoE_v2
##et,-0.00051521923,MoE_v2
##lde,0.0016979591,MoE_v2
##si,-0.00024161683,MoE_v2
##gn,-0.0005915272,MoE_v2
",",-0.00013685957,MoE_v2
staging,-0.0008530334,MoE_v2
",",-0.00061752007,MoE_v2
transformations,-0.00075247494,MoE_v2
",",-0.00070540106,MoE_v2
delta,-0.00044874658,MoE_v2
/,-0.000223627,MoE_v2
change,-0.00030834673,MoE_v2
data,-0.0010615158,MoE_v2
##cap,-0.0007603084,MoE_v2
##ture,-0.00057194487,MoE_v2
",",-0.0017386605,MoE_v2
star,-0.00027641872,MoE_v2
-,-0.0007396707,MoE_v2
sc,-0.0001252525,MoE_v2
##hema,-0.00038082578,MoE_v2
##s,-5.0189774e-05,MoE_v2
",",-0.00013155793,MoE_v2
cube,5.3148833e-05,MoE_v2
##s,0.0001617962,MoE_v2
and,-6.069774e-05,MoE_v2
##his,-0.00046143634,MoE_v2
##tory,0.0014607447,MoE_v2
##loading,0.0010218833,MoE_v2
##ski,0.0022043746,MoE_v2
##lled,0.0017573452,MoE_v2
in,0.00846468,MoE_v2
writing,-0.0029248206,MoE_v2
##t,0.0022929609,MoE_v2
-,-0.004473514,MoE_v2
sql,0.0035978886,MoE_v2
que,-0.0035899903,MoE_v2
##ries,-0.0013890944,MoE_v2
",",-0.0017963483,MoE_v2
dynamic,0.005926638,MoE_v2
-,0.0015967505,MoE_v2
que,-0.0021729765,MoE_v2
##ries,-0.00016202283,MoE_v2
",",0.002020596,MoE_v2
sub,-0.0013790048,MoE_v2
-,-0.00046487717,MoE_v2
que,-3.4914134e-05,MoE_v2
##ries,0.00038567124,MoE_v2
and,0.00047286705,MoE_v2
joins,0.0035120065,MoE_v2
for,-0.00066307426,MoE_v2
generating,0.0013391628,MoE_v2
##stor,0.00031205142,MoE_v2
##ed,0.00038024556,MoE_v2
procedures,-0.0010904109,MoE_v2
",",0.00017146941,MoE_v2
triggers,0.00059980486,MoE_v2
",",0.00033870878,MoE_v2
user,-0.0003902982,MoE_v2
-,-0.0013403049,MoE_v2
defined,0.0004079579,MoE_v2
functions,-0.0008543356,MoE_v2
",",0.0004821099,MoE_v2
views,-6.0520833e-05,MoE_v2
and,-0.00026418804,MoE_v2
cu,0.0011106019,MoE_v2
##rso,-0.0009294241,MoE_v2
##rs,0.0009675175,MoE_v2
.,-9.702533e-05,MoE_v2
experience,-0.00011169497,MoE_v2
with,0.00018269123,MoE_v2
all,-0.00034606698,MoE_v2
phases,0.0010543644,MoE_v2
of,-0.0004334278,MoE_v2
software,0.00067381666,MoE_v2
development,0.00042078525,MoE_v2
life,0.0019778344,MoE_v2
cycle,-0.00021832513,MoE_v2
(,-0.00051897636,MoE_v2
sd,0.00018995305,MoE_v2
##lc,0.0005857685,MoE_v2
),9.5334355e-05,MoE_v2
and,-0.0012704751,MoE_v2
agile,-0.001040182,MoE_v2
method,-0.0005542486,MoE_v2
##ologies,0.0037152465,MoE_v2
.,-0.0065610297,MoE_v2
have,0.0008556823,MoE_v2
delivered,-0.0050917435,MoE_v2
as,-0.0014044598,MoE_v2
a,-0.00017008981,MoE_v2
team,0.0023078034,MoE_v2
member,-0.0018409619,MoE_v2
",",-0.00035213423,MoE_v2
team,-0.0039470587,MoE_v2
lead,0.00045206724,MoE_v2
and,-0.0001151514,MoE_v2
as,0.0008265511,MoE_v2
an,0.0010884178,MoE_v2
independent,0.0003797945,MoE_v2
consultant,-0.00019695907,MoE_v2
on,-0.0016835554,MoE_v2
medium,-0.00024672024,MoE_v2
to,-0.0002422115,MoE_v2
large,-0.00064927904,MoE_v2
scale,-0.00051193894,MoE_v2
projects,-0.0013010378,MoE_v2
.,0.0016791197,MoE_v2
skills,-0.00061522576,MoE_v2
##da,0.00051491574,MoE_v2
##ta,-0.0006147717,MoE_v2
/,8.8246015e-05,MoE_v2
business,-0.00010939565,MoE_v2
/,-0.0010552778,MoE_v2
systems,0.00095141755,MoE_v2
##to,0.0037288428,MoE_v2
##ols,-0.0023365612,MoE_v2
:,-0.0008475342,MoE_v2
ms,0.00021543691,MoE_v2
sql,-0.0028925748,MoE_v2
server,0.002399435,MoE_v2
integration,-9.1042755e-05,MoE_v2
(,-0.0015096486,MoE_v2
ss,-0.0010872085,MoE_v2
##is,-0.0006639344,MoE_v2
),-0.0008522959,MoE_v2
",",-0.000295004,MoE_v2
analysis,-0.0008738064,MoE_v2
services,0.0020863498,MoE_v2
